Notikuma identifikators;Vērtība;Lauka nosaukums
220614698;Diena;Apgaismojums
220617385;Diena;Apgaismojums
220618577;Krēsla;Apgaismojums
220605445;Diena;Apgaismojums
220606771;Tumsa;Apgaismojums
220390993;Diena;Apgaismojums
220397382;Diena;Apgaismojums
220398688;Diena;Apgaismojums
220398713;Apgaism.nav ieslēgts;Apgaismojums
220379111;Diena;Apgaismojums
220590756;Diena;Apgaismojums
220592100;Diena;Apgaismojums
220631995;Diena;Apgaismojums
220621538;Diena;Apgaismojums
220601611;Diena;Apgaismojums
220377545;Tumsa;Apgaismojums
220374194;Diena;Apgaismojums
220395203;Diena;Apgaismojums
220601832;Diena;Apgaismojums
220609874;Diena;Apgaismojums
220612584;Diena;Apgaismojums
220613905;Diena;Apgaismojums
220616552;Diena;Apgaismojums
220617886;Diena;Apgaismojums
220683469;Diena;Apgaismojums
220664958;Diena;Apgaismojums
220387059;Diena;Apgaismojums
220388439;Diena;Apgaismojums
220389726;Diena;Apgaismojums
220391060;Tumsa;Apgaismojums
220393703;Diena;Apgaismojums
220394961;Diena;Apgaismojums
220396195;Tumsa;Apgaismojums
220596005;Krēsla;Apgaismojums
220597348;Diena;Apgaismojums
220598761;Tumsa;Apgaismojums
220681383;Tumsa;Apgaismojums
220373038;Apgaismojums ieslēgts;Apgaismojums
220398500;Diena;Apgaismojums
220373885;Tumsa;Apgaismojums
220377261;Tumsa, apgaism.ieslēgts;Apgaismojums
220377302;Diena;Apgaismojums
220378154;Diena;Apgaismojums
220387459;Diena;Apgaismojums
220388703;Diena;Apgaismojums
217645524;Tumsa;Apgaismojums
220375977;Tumsa, apgaismojuma nav;Apgaismojums
220373278;Diena;Apgaismojums
220380804;Diena;Apgaismojums
220382098;Diena;Apgaismojums
220384759;Diena;Apgaismojums
220386121;Diena;Apgaismojums
220379653;Tumsa;Apgaismojums
220672070;Diena;Apgaismojums
220674747;Tumsa;Apgaismojums
220677367;Diena;Apgaismojums
220677378;Diena;Apgaismojums
220373911;Diena;Apgaismojums
220656265;Diena;Apgaismojums
220384662;Diena;Apgaismojums
220386049;Diena;Apgaismojums
209491149;Tumsa, apgaismojuma nav;Apgaismojums
214956207;Diena;Apgaismojums
216937956;Diena;Apgaismojums
220398436;Diena;Apgaismojums
220384156;Tumsa;Apgaismojums
220382202;Diena;Apgaismojums
220373538;Diena;Apgaismojums
220374980;Diena;Apgaismojums
220375039;Diena;Apgaismojums
220601140;Tumsa;Apgaismojums
220602451;Diena;Apgaismojums
220605107;Diena;Apgaismojums
220606465;Diena;Apgaismojums
220374753;Diena;Apgaismojums
220392334;Diena;Apgaismojums
220394939;Diena;Apgaismojums
220396177;Diena;Apgaismojums
220397395;Diena;Apgaismojums
220595798;Tumsa, apgaismojuma nav;Apgaismojums
220597073;Diena;Apgaismojums
220597075;Diena;Apgaismojums
220613074;Diena;Apgaismojums
220649833;Diena;Apgaismojums
220649856;Diena;Apgaismojums
220378189;Krēsla;Apgaismojums
220383515;Diena;Apgaismojums
220658942;Tumsa;Apgaismojums
220661566;Diena;Apgaismojums
220643019;Diena;Apgaismojums
220643034;Tumsa, apgaismojuma nav;Apgaismojums
220647057;Diena;Apgaismojums
220648376;Diena;Apgaismojums
220688178;Diena;Apgaismojums
220688210;Diena;Apgaismojums
220690848;Tumsa, apgaism.nav ieslēgts;Apgaismojums
220686963;Diena;Apgaismojums
220384817;Diena;Apgaismojums
220387541;Diena;Apgaismojums
220374668;Diena;Apgaismojums
220374733;Tumsa, apgaismojuma nav;Apgaismojums
220397226;Diena;Apgaismojums
220392834;Tumsa;Apgaismojums
220394153;Diena;Apgaismojums
220617076;Tumsa;Apgaismojums
220590542;Diena;Apgaismojums
220590294;Diena;Apgaismojums
220599805;Diena;Apgaismojums
220601188;Diena;Apgaismojums
220603794;Diena;Apgaismojums
220376134;Diena;Apgaismojums
220377175;Diena;Apgaismojums
220373383;Tumsa, apgaism.ieslēgts;Apgaismojums
220651070;Diena;Apgaismojums
220652394;Diena;Apgaismojums
220667295;Diena;Apgaismojums
220695194;Tumsa;Apgaismojums
220661782;Diena;Apgaismojums
220644506;Diena;Apgaismojums
220645873;Diena;Apgaismojums
220391487;Diena;Apgaismojums
220394138;Diena;Apgaismojums
220394149;Diena;Apgaismojums
220392832;Diena;Apgaismojums
220601338;Diena;Apgaismojums
220381662;Tumsa;Apgaismojums
220385704;Krēsla;Apgaismojums
220388333;Tumsa;Apgaismojums
220389651;Tumsa;Apgaismojums
220389678;Diena;Apgaismojums
220389701;Diena;Apgaismojums
220378183;Diena;Apgaismojums
220378205;Tumsa, apgaism.ieslēgts;Apgaismojums
220392697;Tumsa, apgaismojuma nav;Apgaismojums
220396458;Diena;Apgaismojums
220379411;Diena;Apgaismojums
220621478;Diena;Apgaismojums
220591666;Diena;Apgaismojums
220593015;Diena;Apgaismojums
220598313;Diena;Apgaismojums
220607665;Diena;Apgaismojums
220614435;Diena;Apgaismojums
220614448;Diena;Apgaismojums
220618472;Diena;Apgaismojums
220592113;Diena;Apgaismojums
220593644;Diena;Apgaismojums
220593650;Diena;Apgaismojums
220595034;Diena;Apgaismojums
220596305;Tumsa;Apgaismojums
220589758;Diena;Apgaismojums
220602924;Diena;Apgaismojums
220374817;Diena;Apgaismojums
220383177;Diena;Apgaismojums
220383185;Tumsa;Apgaismojums
220386984;Diena;Apgaismojums
220388325;Diena;Apgaismojums
220633011;Diena;Apgaismojums
220406556;Diena;Apgaismojums
220410502;Diena;Apgaismojums
220415853;Diena;Apgaismojums
220646481;Tumsa;Apgaismojums
220650496;Diena;Apgaismojums
220645561;Diena;Apgaismojums
220647926;Diena;Apgaismojums
220455190;Diena;Apgaismojums
220687527;Diena;Apgaismojums
220688851;Tumsa, apgaism.ieslēgts;Apgaismojums
220690132;Tumsa;Apgaismojums
220690174;Diena;Apgaismojums
220692804;Diena;Apgaismojums
220692862;Diena;Apgaismojums
220694120;Diena;Apgaismojums
220406105;Diena;Apgaismojums
220374989;Diena;Apgaismojums
220672472;Diena;Apgaismojums
220424237;Diena;Apgaismojums
220424265;Diena;Apgaismojums
220408053;Diena;Apgaismojums
220410679;Diena;Apgaismojums
220412063;Tumsa;Apgaismojums
220616629;Tumsa;Apgaismojums
