Notikuma identifikators;Vērtība;Lauka nosaukums
220385754;Asfaltbetons;Seguma veids
220387254;Asfaltbetons;Seguma veids
220389975;Asfaltbetons;Seguma veids
220392697;Asfaltbetons;Seguma veids
220387482;Grunts;Seguma veids
220374733;Asfaltbetons;Seguma veids
220376729;Asfaltbetons;Seguma veids
220391804;Asfaltbetons;Seguma veids
220380071;Asfaltbetons;Seguma veids
220415781;Grants;Seguma veids
220410910;Asfaltbetons;Seguma veids
220544225;Asfaltbetons;Seguma veids
220584272;Asfaltbetons;Seguma veids
220592865;Asfaltbetons;Seguma veids
220662096;Grants;Seguma veids
220667762;Asfaltbetons;Seguma veids
220656902;Bruģis;Seguma veids
220646481;Asfaltbetons;Seguma veids
220663924;Asfaltbetons;Seguma veids
220646557;Asfaltbetons;Seguma veids
220574845;Asfaltbetons;Seguma veids
220491964;Asfaltbetons;Seguma veids
220515142;Asfaltbetons;Seguma veids
220640941;Asfaltbetons;Seguma veids
220602972;Asfaltbetons;Seguma veids
220609646;Asfaltbetons;Seguma veids
220520849;Asfaltbetons;Seguma veids
220528758;Asfaltbetons;Seguma veids
220517570;Asfaltbetons;Seguma veids
220610577;Grunts;Seguma veids
220605538;Grunts;Seguma veids
220603136;Asfaltbetons;Seguma veids
220524612;Asfaltbetons;Seguma veids
220536609;Asfaltbetons;Seguma veids
220531396;Asfaltbetons;Seguma veids
220564997;Grunts;Seguma veids
220629988;Asfaltbetons;Seguma veids
220635467;Asfaltbetons;Seguma veids
220647626;Asfaltbetons;Seguma veids
220655603;Bruģis;Seguma veids
220609190;CITS IEMESLS;Iemesls
220643196;CITS IEMESLS;Iemesls
220489173;CEĻA APSTĀKĻI;Iemesls
220394591;CITS IEMESLS;Iemesls
220660495;CITS IEMESLS;Iemesls
220620568;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220442313;CITS IEMESLS;Iemesls
220655223;CITS IEMESLS;Iemesls
220674747;CITS IEMESLS;Iemesls
220669111;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220570410;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220451357;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220670936;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220637788;CITS IEMESLS;Iemesls
220529146;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220500743;CITS IEMESLS;Iemesls
220379111;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220624947;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220498208;CITS IEMESLS;Iemesls
220531014;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220588034;CITS IEMESLS;Iemesls
220640873;CITS IEMESLS;Iemesls
220590395;CITS IEMESLS;Iemesls
220587085;CITS IEMESLS;Iemesls
220558891;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220697979;METEOROLOĢISKIE APSTĀKĻI;Iemesls
220660017;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220650198;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220552404;CITS IEMESLS;Iemesls
220599185;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220630738;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220603589;CITS IEMESLS;Iemesls
220600060;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220579736;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220549213;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220601338;CITS IEMESLS;Iemesls
220666035;CITS IEMESLS;Iemesls
220468046;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220586124;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220632429;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220486443;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220524308;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220431573;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220474687;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220661255;CITS IEMESLS;Iemesls
220691879;CITS IEMESLS;Iemesls
220556237;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220391272;CITS IEMESLS;Iemesls
220538868;CITS IEMESLS;Iemesls
220598877;CITS IEMESLS;Iemesls
220434717;CITS IEMESLS;Iemesls
220700949;CITS IEMESLS;Iemesls
220398496;CITS IEMESLS;Iemesls
220414416;CITS IEMESLS;Iemesls
220565065;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220674943;CITS IEMESLS;Iemesls
220498177;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220530137;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220485472;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220427803;CITS IEMESLS;Iemesls
220515481;CITS IEMESLS;Iemesls
220435968;CITS IEMESLS;Iemesls
220684010;CITS IEMESLS;Iemesls
220452167;CITS IEMESLS;Iemesls
220146875;CITS IEMESLS;Iemesls
220492025;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220532310;CITS IEMESLS;Iemesls
220552631;CITS IEMESLS;Iemesls
220529007;CITS IEMESLS;Iemesls
220416114;CITS IEMESLS;Iemesls
220669553;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220405683;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220631514;CITS IEMESLS;Iemesls
220486794;CITS IEMESLS;Iemesls
220397013;CITS IEMESLS;Iemesls
220547041;CITS IEMESLS;Iemesls
220480839;NEREGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOTEIKUMU NEIEVĒROŠANA (PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220574495;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220469967;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220467213;CITS IEMESLS;Iemesls
220686239;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220606255;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220614698;CITS IEMESLS;Iemesls
220380804;CITS IEMESLS;Iemesls
220445293;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220387709;CITS IEMESLS;Iemesls
220391401;CITS IEMESLS;Iemesls
220536458;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220663770;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220583886;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220553157;CITS IEMESLS;Iemesls
220574766;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220500679;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220431392;CITS IEMESLS;Iemesls
220618896;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220506086;CITS IEMESLS;Iemesls
220379290;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220610577;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220593950;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220653902;CITS IEMESLS;Iemesls
220467244;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220545664;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220697646;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220407767;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220603629;CITS IEMESLS;Iemesls
220391356;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220440322;METEOROLOĢISKIE APSTĀKĻI;Iemesls
220564574;Apmācies;Laika apstākļi
220546349;Skaidrs;Laika apstākļi
220538533;Skaidrs;Laika apstākļi
220592865;Skaidrs;Laika apstākļi
220503881;Saulains;Laika apstākļi
220496242;Saulains;Laika apstākļi
220473903;Skaidrs;Laika apstākļi
220499331;Saulains;Laika apstākļi
220507332;Skaidrs;Laika apstākļi
220499598;Saulains;Laika apstākļi
220616223;Apmācies;Laika apstākļi
220621478;Saulains;Laika apstākļi
220474953;Saulains;Laika apstākļi
220481943;Skaidrs;Laika apstākļi
220443658;Saulains;Laika apstākļi
220450748;Saulains;Laika apstākļi
220450781;Skaidrs;Laika apstākļi
220407767;Saulains;Laika apstākļi
220428853;Saulains;Laika apstākļi
220471169;Saulains;Laika apstākļi
220464672;Lietus;Laika apstākļi
220515605;Apmācies;Laika apstākļi
220489470;Skaidrs;Laika apstākļi
220561797;Apmācies;Laika apstākļi
220564628;Skaidrs;Laika apstākļi
220482194;Lietus;Laika apstākļi
220488946;Skaidrs;Laika apstākļi
220440937;Saulains;Laika apstākļi
220685182;Apmācies;Laika apstākļi
220438975;Saulains;Laika apstākļi
221815430;Saulains;Laika apstākļi
220554679;Saulains;Laika apstākļi
220554701;Apmācies;Laika apstākļi
220549505;Skaidrs;Laika apstākļi
220486112;Skaidrs;Laika apstākļi
220509749;Skaidrs;Laika apstākļi
220481336;Apledojums;Laika apstākļi
220481349;Apmācies;Laika apstākļi
220481356;Saulains;Laika apstākļi
220410968;Apmācies;Laika apstākļi
220373268;Lietus;Laika apstākļi
220377545;Skaidrs;Laika apstākļi
220402264;Apmācies;Laika apstākļi
220403746;Saulains;Laika apstākļi
220470356;Saulains;Laika apstākļi
220465162;Saulains;Laika apstākļi
220472012;Apmācies;Laika apstākļi
220568129;Skaidrs;Laika apstākļi
220630170;Skaidrs;Laika apstākļi
220646176;Lietus;Laika apstākļi
220626479;Saulains;Laika apstākļi
220662315;Apmācies;Laika apstākļi
220593644;Apmācies;Laika apstākļi
220621078;Saulains;Laika apstākļi
220432548;Apmācies;Laika apstākļi
220511436;Skaidrs;Laika apstākļi
220390284;Sniegs;Laika apstākļi
220530877;Apmācies;Laika apstākļi
220537738;Saulains;Laika apstākļi
220556491;Apmācies;Laika apstākļi
220505331;Skaidrs;Laika apstākļi
220510632;Skaidrs;Laika apstākļi
220544260;Apmācies;Laika apstākļi
220650959;Apmācies;Laika apstākļi
220654971;Saulains;Laika apstākļi
220531535;Lietus;Laika apstākļi
220502170;Saulains;Laika apstākļi
220515266;Skaidrs;Laika apstākļi
220511865;Skaidrs;Laika apstākļi
220506925;Apledojums;Laika apstākļi
220541056;Apmācies;Laika apstākļi
220462360;Skaidrs;Laika apstākļi
220488793;Skaidrs;Laika apstākļi
220398317;Apmācies;Laika apstākļi
220399963;Sniegs;Laika apstākļi
220508420;Skaidrs;Laika apstākļi
220499292;Apmācies;Laika apstākļi
220491317;Skaidrs;Laika apstākļi
220510333;Saulains;Laika apstākļi
220495758;Apmācies;Laika apstākļi
220576247;Skaidrs;Laika apstākļi
220458357;Saulains;Laika apstākļi
220450610;Saulains;Laika apstākļi
220547886;Skaidrs;Laika apstākļi
220544035;Skaidrs;Laika apstākļi
220630863;Skaidrs;Laika apstākļi
220617016;Skaidrs;Laika apstākļi
220518190;Saulains;Laika apstākļi
220379403;Skaidrs;Laika apstākļi
220378172;Lietus;Laika apstākļi
220392916;Skaidrs;Laika apstākļi
220612311;Skaidrs;Laika apstākļi
220618886;Skaidrs;Laika apstākļi
220616597;Skaidrs;Laika apstākļi
220607445;Skaidrs;Laika apstākļi
220486510;Sniegs;Laika apstākļi
220477580;Saulains;Laika apstākļi
220481581;Apmācies;Laika apstākļi
220551679;Apmācies;Laika apstākļi
220557135;Saulains;Laika apstākļi
220550822;Apmācies;Laika apstākļi
220681923;Skaidrs;Laika apstākļi
220684491;Apmācies;Laika apstākļi
220655165;Apmācies;Laika apstākļi
220683469;Saulains;Laika apstākļi
220569464;Apmācies;Laika apstākļi
220492025;Saulains;Laika apstākļi
220447934;Apmācies;Laika apstākļi
220421102;Apmācies;Laika apstākļi
220422442;Apmācies;Laika apstākļi
220546763;Saulains;Laika apstākļi
220622179;Lietus;Laika apstākļi
220587600;Apmācies;Laika apstākļi
220584149;Apmācies;Laika apstākļi
220387254;Skaidrs;Laika apstākļi
220391722;Skaidrs;Laika apstākļi
220382521;Saulains;Laika apstākļi
220418428;Skaidrs;Laika apstākļi
220410679;Apmācies;Laika apstākļi
220430174;Saulains;Laika apstākļi
220452434;Apmācies;Laika apstākļi
220452516;Apmācies;Laika apstākļi
220700949;Skaidrs;Laika apstākļi
220695856;Skaidrs;Laika apstākļi
220662281;Apmācies;Laika apstākļi
221811168;Saulains;Laika apstākļi
220522335;Apmācies;Laika apstākļi
220603589;Apmācies;Laika apstākļi
220604866;Saulains;Laika apstākļi
220374373;Apmācies;Laika apstākļi
220649238;Skaidrs;Laika apstākļi
220694585;Saulains;Laika apstākļi
220427428;Lietus;Laika apstākļi
220418873;Skaidrs;Laika apstākļi
220419134;Skaidrs;Laika apstākļi
220646731;Saulains;Laika apstākļi
220638605;Skaidrs;Laika apstākļi
220628202;Apmācies;Laika apstākļi
220662726;Apmācies;Laika apstākļi
220644186;Apmācies;Laika apstākļi
220645927;Saulains;Laika apstākļi
220649937;Lietus;Laika apstākļi
220635968;Lietus;Laika apstākļi
220415681;Skaidrs;Laika apstākļi
220385371;Apmācies;Laika apstākļi
220414548;Saulains;Laika apstākļi
220623132;Skaidrs;Laika apstākļi
220664143;Skaidrs;Laika apstākļi
220668171;Skaidrs;Laika apstākļi
220672182;Skaidrs;Laika apstākļi
220682947;Apmācies;Laika apstākļi
220676404;Skaidrs;Laika apstākļi
220671150;Saulains;Laika apstākļi
220680288;Sniegs;Laika apstākļi
220684429;Lietus;Laika apstākļi
220667282;Skaidrs;Laika apstākļi
220435884;Sniegs;Laika apstākļi
220430696;Skaidrs;Laika apstākļi
220437605;Saulains;Laika apstākļi
220679497;Lietus;Laika apstākļi
220673112;Apmācies;Laika apstākļi
220543869;Skaidrs;Laika apstākļi
220563392;Skaidrs;Laika apstākļi
220572898;Skaidrs;Laika apstākļi
220457432;Saulains;Laika apstākļi
218831294;Skaidrs;Laika apstākļi
220373731;Sniegs;Laika apstākļi
220429228;Apmācies;Laika apstākļi
220697799;Apmācies;Laika apstākļi
220578323;Apmācies;Laika apstākļi
220599735;Skaidrs;Laika apstākļi
220594818;Apmācies;Laika apstākļi
220599185;Saulains;Laika apstākļi
220609447;Skaidrs;Laika apstākļi
220620009;Apmācies;Laika apstākļi
220427015;Skaidrs;Laika apstākļi
220439355;Apmācies;Laika apstākļi
220440322;Sniegs;Laika apstākļi
220440817;Skaidrs;Laika apstākļi
220451188;Apmācies;Laika apstākļi
220469780;Skaidrs;Laika apstākļi
220443655;Saulains;Laika apstākļi
220446321;Apmācies;Laika apstākļi
220454367;Sniegs;Laika apstākļi
220648042;Saulains;Laika apstākļi
220654819;Skaidrs;Laika apstākļi
220642995;Skaidrs;Laika apstākļi
220619250;Skaidrs;Laika apstākļi
220679358;Saulains;Laika apstākļi
220412117;Saulains;Laika apstākļi
220503998;Skaidrs;Laika apstākļi
220505524;Skaidrs;Laika apstākļi
220511162;Skaidrs;Laika apstākļi
220489282;Apmācies;Laika apstākļi
220437272;Saulains;Laika apstākļi
220665585;Tumsa, apgaism.ieslēgts;Apgaismojums
220666871;Tumsa;Apgaismojums
220668228;Diena;Apgaismojums
220669594;Diena;Apgaismojums
220669598;Diena;Apgaismojums
220670862;Diena;Apgaismojums
220673516;Tumsa;Apgaismojums
220504515;Diena;Apgaismojums
220508517;Diena;Apgaismojums
220531032;Diena;Apgaismojums
220504845;Diena;Apgaismojums
220378946;Diena;Apgaismojums
220381615;Diena;Apgaismojums
220671156;Diena;Apgaismojums
220671171;Diena;Apgaismojums
220676478;Tumsa;Apgaismojums
220677811;Diena;Apgaismojums
220695477;Diena;Apgaismojums
220695530;Diena;Apgaismojums
220483548;Diena;Apgaismojums
220452434;Diena;Apgaismojums
220450990;Apgaism.nav ieslēgts;Apgaismojums
220476580;Diena;Apgaismojums
220476630;Tumsa;Apgaismojums
220479227;Tumsa, apgaism.ieslēgts;Apgaismojums
220480594;Diena;Apgaismojums
220508156;Diena;Apgaismojums
220510800;Diena;Apgaismojums
220513340;Krēsla;Apgaismojums
220579736;Krēsla;Apgaismojums
220579738;Tumsa, apgaism.ieslēgts;Apgaismojums
220579749;Diena;Apgaismojums
220581054;Diena;Apgaismojums
220585018;Diena;Apgaismojums
220429971;Diena;Apgaismojums
220511394;Diena;Apgaismojums
220511436;Diena;Apgaismojums
220496993;Diena;Apgaismojums
220498272;Diena;Apgaismojums
220652842;Tumsa;Apgaismojums
220654181;Diena;Apgaismojums
220590642;Diena;Apgaismojums
220594612;Diena;Apgaismojums
220428829;Tumsa;Apgaismojums
220688712;Diena;Apgaismojums
220697508;Diena;Apgaismojums
220697521;Tumsa, apgaismojuma nav;Apgaismojums
220700165;Diena;Apgaismojums
220414416;Diena;Apgaismojums
220415781;Tumsa;Apgaismojums
220415804;Krēsla;Apgaismojums
220496273;Tumsa;Apgaismojums
220622592;Diena;Apgaismojums
220625232;Diena;Apgaismojums
220627918;Diena;Apgaismojums
220634682;Diena;Apgaismojums
220635968;Krēsla;Apgaismojums
220632712;Diena;Apgaismojums
220635537;Diena;Apgaismojums
220647586;Diena;Apgaismojums
220652905;Diena;Apgaismojums
220655621;Diena;Apgaismojums
220503275;Krēsla;Apgaismojums
220452332;Diena;Apgaismojums
220452357;Tumsa, apgaism.ieslēgts;Apgaismojums
220517956;Diena;Apgaismojums
220521951;Diena;Apgaismojums
220511820;Diena;Apgaismojums
220511851;Diena;Apgaismojums
220513082;Diena;Apgaismojums
220514315;Tumsa, apgaism.ieslēgts;Apgaismojums
220579393;Tumsa;Apgaismojums
220584682;Diena;Apgaismojums
220584698;Diena;Apgaismojums
220439106;Diena;Apgaismojums
220421918;Diena;Apgaismojums
220425888;Diena;Apgaismojums
220655198;Diena;Apgaismojums
220656554;Tumsa, apgaism.ieslēgts;Apgaismojums
220638883;Tumsa;Apgaismojums
220649037;Diena;Apgaismojums
220653051;Diena;Apgaismojums
220655672;Apgaismojuma nav;Apgaismojums
220597235;Diena;Apgaismojums
220597254;Tumsa;Apgaismojums
220597291;Diena;Apgaismojums
220594720;Diena;Apgaismojums
220559179;Apgaismojuma nav;Apgaismojums
220560499;Diena;Apgaismojums
220568623;Diena;Apgaismojums
220697121;Diena;Apgaismojums
220699806;Diena;Apgaismojums
220699810;Diena;Apgaismojums
221812806;Tumsa, apgaismojuma nav;Apgaismojums
220694418;Diena;Apgaismojums
220687815;Diena;Apgaismojums
220689192;Diena;Apgaismojums
220636465;Asfaltbetons;Seguma veids
220571476;Asfaltbetons;Seguma veids
220562573;Asfaltbetons;Seguma veids
220535540;Asfaltbetons;Seguma veids
220517015;Asfaltbetons;Seguma veids
220515727;Bruģis;Seguma veids
220525368;Asfaltbetons;Seguma veids
220459745;Grants;Seguma veids
220450281;Asfaltbetons;Seguma veids
220624221;Bruģis;Seguma veids
220684610;Asfaltbetons;Seguma veids
220692804;Asfaltbetons;Seguma veids
220656640;Asfaltbetons;Seguma veids
220660713;Grants;Seguma veids
220669077;Asfaltbetons;Seguma veids
220672896;Dažāds;Seguma veids
220375578;Asfaltbetons;Seguma veids
220397835;Asfaltbetons;Seguma veids
220389721;Asfaltbetons;Seguma veids
220392462;Asfaltbetons;Seguma veids
220697979;Asfaltbetons;Seguma veids
220699820;Asfaltbetons;Seguma veids
220698584;Bruģis;Seguma veids
220646538;Grants;Seguma veids
220632529;Grants;Seguma veids
220622180;Asfaltbetons;Seguma veids
220623617;Asfaltbetons;Seguma veids
220646224;Asfaltbetons;Seguma veids
220660399;Asfaltbetons;Seguma veids
220572120;Asfaltbetons;Seguma veids
220413707;Asfaltbetons;Seguma veids
220407181;Asfaltbetons;Seguma veids
220416541;Asfaltbetons;Seguma veids
220408687;Bruģis;Seguma veids
220389678;Asfaltbetons;Seguma veids
220379156;Asfaltbetons;Seguma veids
220384817;Asfaltbetons;Seguma veids
220384398;Asfaltbetons;Seguma veids
220636653;Asfaltbetons;Seguma veids
220642136;Asfaltbetons;Seguma veids
220654536;Asfaltbetons;Seguma veids
220651959;Asfaltbetons;Seguma veids
220654611;Asfaltbetons;Seguma veids
220495185;Asfaltbetons;Seguma veids
220513632;Asfaltbetons;Seguma veids
220520297;Asfaltbetons;Seguma veids
220532251;Asfaltbetons;Seguma veids
220581198;Asfaltbetons;Seguma veids
220445791;Asfaltbetons;Seguma veids
220443522;Asfaltbetons;Seguma veids
220452303;Asfaltbetons;Seguma veids
220455190;Asfaltbetons;Seguma veids
220694967;Asfaltbetons;Seguma veids
220682933;Grants;Seguma veids
220692102;Asfaltbetons;Seguma veids
220660662;Asfaltbetons;Seguma veids
220386121;Asfaltbetons;Seguma veids
220636284;Asfaltbetons;Seguma veids
220627054;Asfaltbetons;Seguma veids
220647343;Asfaltbetons;Seguma veids
220474478;Asfaltbetons;Seguma veids
220483853;Grunts;Seguma veids
220436912;Asfaltbetons;Seguma veids
220579315;Grants;Seguma veids
220568290;Asfaltbetons;Seguma veids
220377563;Šķembas;Seguma veids
220650318;Asfaltbetons;Seguma veids
220663810;Asfaltbetons;Seguma veids
220643940;Bruģis;Seguma veids
220649289;Asfaltbetons;Seguma veids
220645883;Asfaltbetons;Seguma veids
220682204;Asfaltbetons;Seguma veids
220438892;Asfaltbetons;Seguma veids
220434263;Asfaltbetons;Seguma veids
220655621;Asfaltbetons;Seguma veids
220649053;Asfaltbetons;Seguma veids
220670936;Asfaltbetons;Seguma veids
220484499;Asfaltbetons;Seguma veids
220481752;Grunts;Seguma veids
220487358;Asfaltbetons;Seguma veids
220504845;Bruģis;Seguma veids
220509501;Asfaltbetons;Seguma veids
220402264;Grants;Seguma veids
220401037;Asfaltbetons;Seguma veids
220422442;Bruģis;Seguma veids
220436453;Asfaltbetons;Seguma veids
220640838;Asfaltbetons;Seguma veids
220588509;Asfaltbetons;Seguma veids
220550981;Asfaltbetons;Seguma veids
220385639;Dažāds;Seguma veids
217645524;Asfaltbetons;Seguma veids
220375977;Asfaltbetons;Seguma veids
220424811;Asfaltbetons;Seguma veids
220431467;Asfaltbetons;Seguma veids
220448953;Asfaltbetons;Seguma veids
220470546;Grants;Seguma veids
220492071;Asfaltbetons;Seguma veids
220476164;Asfaltbetons;Seguma veids
220478806;Asfaltbetons;Seguma veids
220645281;Asfaltbetons;Seguma veids
220510527;Grants;Seguma veids
220373885;Asfaltbetons;Seguma veids
220543752;Asfaltbetons;Seguma veids
220549054;Bruģis;Seguma veids
220581651;Asfaltbetons;Seguma veids
220519699;Asfaltbetons;Seguma veids
220525114;Asfaltbetons;Seguma veids
220534727;Bruģis;Seguma veids
220455844;Asfaltbetons;Seguma veids
220453335;Asfaltbetons;Seguma veids
220460050;Bruģis;Seguma veids
220461027;Asfaltbetons;Seguma veids
220451939;Asfaltbetons;Seguma veids
220669598;Asfaltbetons;Seguma veids
220456105;Asfaltbetons;Seguma veids
220421018;Asfaltbetons;Seguma veids
220420578;Asfaltbetons;Seguma veids
220662061;Asfaltbetons;Seguma veids
220666817;Asfaltbetons;Seguma veids
220591233;Asfaltbetons;Seguma veids
220511197;Asfaltbetons;Seguma veids
220538904;Asfaltbetons;Seguma veids
220595798;Asfaltbetons;Seguma veids
220622984;Asfaltbetons;Seguma veids
220374143;Asfaltbetons;Seguma veids
220395988;Grunts;Seguma veids
220376134;Asfaltbetons;Seguma veids
220389563;Asfaltbetons;Seguma veids
220552244;Asfaltbetons;Seguma veids
220651431;Asfaltbetons;Seguma veids
220507841;Asfaltbetons;Seguma veids
220498631;Asfaltbetons;Seguma veids
220511436;Asfaltbetons;Seguma veids
220511472;Dažāds;Seguma veids
220515364;Asfaltbetons;Seguma veids
220578242;Asfaltbetons;Seguma veids
220642031;Bruģis;Seguma veids
220632823;Asfaltbetons;Seguma veids
220443387;Grants;Seguma veids
220447308;Asfaltbetons;Seguma veids
220462064;Asfaltbetons;Seguma veids
220458863;Asfaltbetons;Seguma veids
220441664;Asfaltbetons;Seguma veids
220450989;Asfaltbetons;Seguma veids
220664565;Asfaltbetons;Seguma veids
220606465;Bruģis;Seguma veids
222081869;Grunts;Seguma veids
220665494;Asfaltbetons;Seguma veids
220675306;Asfaltbetons;Seguma veids
220602313;Asfaltbetons;Seguma veids
220438698;Asfaltbetons;Seguma veids
220431001;Asfaltbetons;Seguma veids
212786349;Grunts;Seguma veids
220596629;Asfaltbetons;Seguma veids
220626698;Asfaltbetons;Seguma veids
220375694;Asfaltbetons;Seguma veids
220384690;Asfaltbetons;Seguma veids
220380865;Bruģis;Seguma veids
220585333;Asfaltbetons;Seguma veids
220658942;Asfaltbetons;Seguma veids
220685219;Šķembas;Seguma veids
220373911;Asfaltbetons;Seguma veids
220649389;Bruģis;Seguma veids
220580020;Asfaltbetons;Seguma veids
220584156;Asfaltbetons;Seguma veids
220504025;Grants;Seguma veids
220508431;Asfaltbetons;Seguma veids
220676630;Asfaltbetons;Seguma veids
220605093;Asfaltbetons;Seguma veids
220642477;Asfaltbetons;Seguma veids
220574421;Asfaltbetons;Seguma veids
220678186;Asfaltbetons;Seguma veids
220662726;Asfaltbetons;Seguma veids
