Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
220456396;1;Vieglā;VOLVO;V50;2009;2;Vadītājs;51;V;Nē;bez miesas bojājumiem
220456396;2;Velosipēds;;;;1;Velosipēda vadītājs;23;S;Nē;viegli miesas bojājumi
220456401;1;Kravas;IVECO;ML 100E18;2012;1;Vadītājs;60;V;Nē;bez miesas bojājumiem
220456491;1;Vieglā;VOLVO;V70;1998;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220456491;2;Traktortehnika;;;;1;Vadītājs;31;V;Nē;bez miesas bojājumiem
220456510;1;Vieglā;MERCEDES BENZ;E350;2010;1;Vadītājs;50;S;Nē;viegli miesas bojājumi
220456527;1;Kravas;ŠKODA;PRAKTIK;2013;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
220456527;2;Piekabe;1 APM 3;;;3;Atbildīgais par piekabi;;V;Nē;bez miesas bojājumiem
220456527;3;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220456537;1;Vieglā;VW;PASSAT;2008;2;Vadītājs;25;S;Nē;viegli miesas bojājumi
220456537;2;Vieglā;VW;GOLF;2001;1;Vadītājs;27;V;Nē;bez miesas bojājumiem
220456797;1;Vieglā;VW;PASSAT;2013;1;Vadītājs;27;V;Nē;bez miesas bojājumiem
220456847;1;Vieglā;OPEL;COMBO VAN;2012;2;Vadītājs;22;V;Nē;bez miesas bojājumiem
220456847;2;Vieglā;LEXUS;RX450H;2020;1;Vadītājs;36;S;Nē;bez miesas bojājumiem
220456878;1;Piekabe;INTER;;2007;4;;;;Nē;
220456878;1;Piekabe;INTER CARS;;;4;;;;Nē;
220456878;2;Kravas;DAF;;;3;Vadītājs;56;V;Nē;bez miesas bojājumiem
220456878;2;Kravas;DAF;FT XF;2013;3;Vadītājs;56;V;Nē;bez miesas bojājumiem
220456878;3;Kravas;SCANIA;;2000;1;Vadītājs;53;V;Nē;bez miesas bojājumiem
220456878;4;Piekabe;FEBER;;2007;2;Citi;53;V;Nē;bez miesas bojājumiem
220456915;1;Vieglā;AUDI;A4 AVANT;2002;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220456915;2;Vieglā;AUDI;A6 AVANT;2008;2;Vadītājs;22;S;Nē;bez miesas bojājumiem
220456948;1;Vieglā;VW;GOLF;2007;2;Vadītājs;26;V;Nē;bez miesas bojājumiem
220456948;2;Vieglā;VOLVO;XC90;2016;1;Vadītājs;40;S;Nē;bez miesas bojājumiem
220456959;1;Kravas;VOLVO;FH;2019;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
220456959;2;Puspiekabe;SCHMITZ;SCS 24;2013;2;;;;Nē;
220457027;1;Vieglā;DACIA;DUSTER;2018;1;Vadītājs;60;V;Nē;bez miesas bojājumiem
220457027;2;Pārvietošanās līdzeklis ar elektromotoru;;;;2;Citi;14;V;Nē;bez miesas bojājumiem
220457342;1;Vieglā;VW;CADDY LIFE;2008;1;Vadītājs;55;S;Nē;bez miesas bojājumiem
220457406;1;Vieglā;VW;PASSAT;2001;1;Vadītājs;23;V;Nē;bez miesas bojājumiem
220457432;1;Vieglā;LEXUS;RX450H;2010;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220457432;2;Vieglā;ŠKODA;SUPERB;2013;1;Vadītājs;36;V;Nē;bez miesas bojājumiem
220457517;1;Vieglā;JEEP;GRAND CHEROKEE;1999;1;Vadītājs;24;V;Nē;bez miesas bojājumiem
220457530;1;Trolejbuss;;;;1;Vadītājs;45;S;Nē;bez miesas bojājumiem
220457530;2;Trolejbuss;;;;2;Vadītājs;64;S;Nē;bez miesas bojājumiem
220457542;1;Vieglā;AUDI;A6 AVANT;2004;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
220457542;2;Vieglā;AUDI;A4;2005;2;Vadītājs;31;V;Nē;bez miesas bojājumiem
220457560;1;Kravas;OPEL;MOVANO;2010;2;Vadītājs;36;V;Nē;bez miesas bojājumiem
220457560;2;Vieglā;MERCEDES BENZ;;2017;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220457599;1;Vieglā;LAND ROVER;RANGE ROVER SPORT;2010;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220457599;2;Vieglā;HONDA;CRV;2003;1;Vadītājs;64;V;Nē;bez miesas bojājumiem
220457683;1;Vieglā;VW;GOLF;2008;1;Īpašnieks;46;S;Nē;bez miesas bojājumiem
220457683;;;;;;2;Nenoskaidrots;;V;Nē;bez miesas bojājumiem
220457724;1;Vieglā;LEXUS;GS 300H;2016;1;Vadītājs;30;S;Nē;bez miesas bojājumiem
220457724;2;Vieglā;MITSUBISHI;LANCER;2008;2;Vadītājs;34;V;Nē;bez miesas bojājumiem
220457730;1;Vieglā;VW;PASSAT;2007;1;Vadītājs;24;S;Nē;bez miesas bojājumiem
220457735;1;Kravas;MAN;TGM 18.280;2006;1;Vadītājs;61;V;Nē;bez miesas bojājumiem
220457735;2;Kravas;DAF;XF 480 FT;2018;2;Vadītājs;43;V;Nē;bez miesas bojājumiem
220457735;3;Puspiekabe;KAESSBOHRER;MAXIMA;2018;3;;;;Nē;
220457778;1;Vieglā;NISSAN;QASHQAI;2011;2;Vadītājs;46;S;Nē;bez miesas bojājumiem
220457778;2;Velosipēds;;;;1;Velosipēda vadītājs;46;V;Nē;bez miesas bojājumiem
220457794;1;Puspiekabe;KOGEL;S24;2012;2;;;;Nē;
220457794;2;Kravas;MAN;TGX 18.480;2011;1;Vadītājs;53;V;Nē;bez miesas bojājumiem
220457952;1;Vieglā;VOLVO;V40 CROSS COUNTRY;2013;1;Vadītājs;36;S;Nē;bez miesas bojājumiem
220457952;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220458059;1;Vieglā;VOLVO;V70;2006;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220458059;2;Vieglā;MERCEDES BENZ;E220;2002;1;Vadītājs;29;S;Nē;bez miesas bojājumiem
220458114;1;Vieglā;VOLVO;S60;2002;2;Vadītājs;36;S;Nē;bez miesas bojājumiem
220458114;2;Vieglā;VOLVO;V70;2004;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220458162;1;Vieglā;NISSAN;X TRAIL;2007;1;Vadītājs;46;V;Jā;bez miesas bojājumiem
220458181;;;;;;1;Īpašnieks;33;V;Nē;bez miesas bojājumiem
220458196;1;Vieglā;OPEL;CROSSLAND X;2017;2;Vadītājs;32;V;Nē;bez miesas bojājumiem
220458196;1;Vieglā;OPEL;CROSSLAND X;2017;3;Pasažieris;2;V;Nē;viegli miesas bojājumi
220458196;2;Autobuss;VOLVO;8700;2011;1;Vadītājs;27;V;Nē;bez miesas bojājumiem
220458205;1;Kravas;RENAULT;PREMIUM;2008;2;Vadītājs;29;V;Nē;bez miesas bojājumiem
220458205;2;Piekabe;ROLFO;C171;2001;2;Citi;29;V;Nē;bez miesas bojājumiem
220458205;3;Vieglā;MERCEDES BENZ;S320;2007;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220458317;1;Vieglā;AUDI;A4 AVANT;2003;1;Vadītājs;59;S;Nē;bez miesas bojājumiem
220458357;1;Vieglā;MITSUBISHI;SPACE STAR;2000;1;Vadītājs;51;V;Nē;bez miesas bojājumiem
220458369;1;Vieglā;BMW;730;2006;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
220458501;1;Kravas;RENAULT;KANGOO;2018;1;Vadītājs;47;V;Nē;bez miesas bojājumiem
220458501;2;Vieglā;AUDI;A6 AVANT;2015;2;Vadītājs;30;S;Nē;bez miesas bojājumiem
220458518;1;Vieglā;OPEL;INSIGNIA SPORTS TOUR;2012;1;Vadītājs;60;V;Nē;bez miesas bojājumiem
220458518;2;Vieglā;VOLVO;S80;2006;2;Vadītājs;59;S;Nē;bez miesas bojājumiem
220458601;1;Vieglā;BMW;530;2004;2;Vadītājs;29;V;Nē;bez miesas bojājumiem
220458601;2;Kravas;SCANIA;R 450;2019;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
220458601;3;Piekabe;JYKI;V31;2019;3;;;;Nē;
220458628;1;Vieglā;RENAULT;LAGUNA;2007;1;Vadītājs;41;V;Nē;bez miesas bojājumiem
220458628;2;Vieglā;SMART;FORFOUR;2005;2;Vadītājs;33;S;Nē;bez miesas bojājumiem
220458649;1;Vieglā;FORD;GALAXY;2007;2;Vadītājs;35;S;Nē;bez miesas bojājumiem
220458649;2;Vieglā;OPEL;ZAFIRA;2007;1;Vadītājs;45;S;Nē;bez miesas bojājumiem
220458714;1;Vieglā;TOYOTA;AVENSIS;2007;1;Vadītājs;77;V;Nē;bez miesas bojājumiem
220458863;1;Autobuss;SOLARIS;URBINO 12;2002;2;Pasažieris;72;S;Nē;viegli miesas bojājumi
220458863;1;Autobuss;SOLARIS;URBINO 12;2002;1;Vadītājs;58;V;Nē;bez miesas bojājumiem
220458926;1;Vieglā;FORD;;2021;1;Vadītājs;41;V;Nē;bez miesas bojājumiem
220458926;2;Vieglā;OPEL;VIVARO;2006;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220458962;1;Vieglā;OPEL;CORSA-E;2017;1;Vadītājs;63;S;Nē;bez miesas bojājumiem
220458962;2;Vieglā;VW;BORA;1999;2;Vadītājs;31;V;Nē;bez miesas bojājumiem
220459434;1;Velosipēds;;;;1;Velosipēda vadītājs;17;V;Nē;bez miesas bojājumiem
220459434;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220459508;1;Vieglā;PEUGEOT;307;2004;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
220459508;2;Vieglā;PEUGEOT;206;1999;2;Vadītājs;29;V;Nē;bez miesas bojājumiem
220459565;1;Vieglā;BMW;X5;2011;2;Vadītājs;24;V;Jā;bez miesas bojājumiem
220459565;2;Vieglā;VW;TOURAN;2007;1;Vadītājs;35;S;Nē;bez miesas bojājumiem
220459596;1;Kravas vilcējs;KAMAZ;;2020;2;Vadītājs;42;V;Nē;bez miesas bojājumiem
220459596;2;Piekabe;SCHMITZ;CARGOBULL;2020;3;;;;Nē;
220459596;3;Traktortehnika;;;;1;Vadītājs;68;V;Nē;bez miesas bojājumiem
220459699;1;Vieglā;VOLVO;V60 PLUG IN HYBRID;2015;2;Vadītājs;64;V;Nē;bez miesas bojājumiem
220459699;2;Vieglā;MAZDA;323;1998;1;Vadītājs;35;S;Nē;bez miesas bojājumiem
220459745;1;Vieglā;MITSUBISHI;SPACE STAR;2020;1;Vadītājs;49;S;Nē;bez miesas bojājumiem
220459988;1;Vieglā;KIA;SPORTAGE;2012;1;Vadītājs;43;S;Nē;bez miesas bojājumiem
220460050;1;Vieglā;VW;SHARAN;2003;1;Vadītājs;51;V;Nē;bez miesas bojājumiem
220460050;2;Vieglā;AUDI;A4 AVANT;1999;2;Vadītājs;51;S;Nē;bez miesas bojājumiem
220460050;3;Piekabe;ABBEY;EXECUTIVE 390;1989;3;;;;Nē;
220460251;1;Vieglā;LEXUS;RX 350;2007;1;Vadītājs;42;S;Nē;bez miesas bojājumiem
220460251;2;Vieglā;MERCEDES BENZ;C200;2007;2;Vadītājs;28;S;Nē;viegli miesas bojājumi
220460299;1;Kravas;RENAULT;TRAFIC;2011;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
220460299;2;Vieglā;VOLVO;S60;2004;2;Vadītājs;24;S;Nē;bez miesas bojājumiem
220460321;1;Vieglā;MAZDA;PREMACY;1999;1;Vadītājs;48;V;Nē;bez miesas bojājumiem
220460321;2;Vieglā;CADILLAC;BLS;2006;2;Vadītājs;32;S;Nē;bez miesas bojājumiem
220460479;1;Vieglā;BMW;X5;2007;1;Vadītājs;30;V;Nē;bez miesas bojājumiem
220460550;1;Vieglā;VOLVO;V40;2003;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220460765;1;Vieglā;FORD;FOCUS;2013;1;Vadītājs;57;V;Nē;bez miesas bojājumiem
220460780;1;Kravas;TOYOTA;HILUX;2013;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
220460780;2;Velosipēds;;;;2;Velosipēda vadītājs;2;S;Nē;viegli miesas bojājumi
220460780;3;Velosipēds;;;;3;Velosipēda vadītājs;2;V;Nē;viegli miesas bojājumi
220460812;1;Velosipēds;;;;1;Velosipēda vadītājs;58;V;Jā;bez miesas bojājumiem
220460812;2;Velosipēds;;;;2;Velosipēda vadītājs;34;V;Nē;viegli miesas bojājumi
220460861;1;Vieglā;PEUGEOT;407;2006;1;Vadītājs;;;Nē;bez miesas bojājumiem
220460897;1;Kravas;MAN;TGS;2014;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220460939;1;Vieglā;AUDI;80 AVANT;1994;1;Vadītājs;42;V;Nē;viegli miesas bojājumi
220460964;1;Vieglā;TOYOTA;AVENSIS;2004;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220460964;2;Vieglā;VW;PASSAT;2021;1;Vadītājs;34;V;Nē;bez miesas bojājumiem
220461027;1;Vieglā;KIA;CEE D;2008;2;Vadītājs;38;S;Nē;bez miesas bojājumiem
220461027;2;Vieglā;AUDI;A6;2005;3;Vadītājs;;V;Nē;bez miesas bojājumiem
220461027;3;Vieglā;FORD;GRAND C-MAX;2012;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
220461143;1;Vieglā;VOLVO;V70;2003;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220461143;2;Vieglā;ŠKODA;OCTAVIA;2017;2;Vadītājs;62;V;Nē;bez miesas bojājumiem
220461199;1;Vieglā;OPEL;ZAFIRA;2006;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
220461292;1;Vieglā;BMW;X5 XDRIVE30D;2014;1;Vadītājs;33;S;Nē;bez miesas bojājumiem
220461292;2;Vieglā;ALFA ROMEO;MITO;2010;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220461528;1;Kravas;MITSUBISHI;L200;2012;1;Vadītājs;33;V;Nē;bez miesas bojājumiem
220461544;1;Vieglā;AUDI;A3;1999;1;Vadītājs;19;V;Nē;bez miesas bojājumiem
220461544;2;Kravas;RENAULT;PREMIUM;2012;2;Vadītājs;49;V;Nē;bez miesas bojājumiem
220461544;3;Piekabe;KRONE;;2011;3;;;;Nē;
220461613;1;Nedefinēts;;;;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220461714;1;Vieglā;AUDI;A4;2006;3;Vadītājs;49;V;Nē;viegli miesas bojājumi
220461714;2;Vieglā;MAZDA;626;1997;1;Vadītājs;67;V;Nē;viegli miesas bojājumi
220461714;2;Vieglā;MAZDA;626;1997;2;Pasažieris;28;V;Nē;viegli miesas bojājumi
220461714;2;Vieglā;MAZDA;626;1997;4;Pasažieris;22;V;Nē;viegli miesas bojājumi
220461724;1;Vieglā;OPEL;ZAFIRA;2007;1;Vadītājs;65;V;Nē;bez miesas bojājumiem
220461724;2;Velosipēds;;;;2;Velosipēda vadītājs;9;V;Nē;viegli miesas bojājumi
220461729;1;Kravas;MAN;TGA 18.440;2007;1;Vadītājs;56;V;Nē;bez miesas bojājumiem
220461729;2;Kravas;SCANIA;R114;2000;2;Vadītājs;49;V;Nē;bez miesas bojājumiem
220461729;3;Piekabe;SCHMITZ;SCS 24/L;2005;3;;;;Nē;
220461729;4;Piekabe;KRONE;;2018;3;;;;Nē;
220461737;1;Vieglā;AUDI;A4 AVANT;2002;2;Pasažieris;49;S;Nē;smagi miesas bojājumi
220461737;1;Vieglā;AUDI;A4 AVANT;2002;3;Vadītājs;75;V;Nē;smagi miesas bojājumi
220461737;1;Vieglā;AUDI;A4 AVANT;2002;4;Pasažieris;8;S;Nē;smagi miesas bojājumi
220461737;2;Vieglā;AUDI;A7 SPORTBACK;2013;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220461793;1;Vieglā;VW;PASSAT CC;2009;2;Vadītājs;34;V;Nē;viegli miesas bojājumi
220461793;2;Vieglā;MERCEDES BENZ;A200;2007;1;Vadītājs;43;V;Nē;viegli miesas bojājumi
220461842;1;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220461842;2;Velosipēds;;;;1;Velosipēda vadītājs;60;V;Nē;smagi miesas bojājumi
220461883;1;Vieglā;BMW;320D;2004;1;Vadītājs;23;V;Nē;bez miesas bojājumiem
220461953;1;Vieglā;TOYOTA;YARIS;2016;2;Vadītājs;34;S;Nē;bez miesas bojājumiem
220461953;2;Vieglā;HONDA;JAZZ;2004;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
220461958;1;Vieglā;CITROEN;C2;2004;1;Vadītājs;27;V;Nē;bez miesas bojājumiem
220461989;1;Kravas;FORD;TRANSIT;2014;1;Vadītājs;36;V;Nē;bez miesas bojājumiem
220461989;2;Vieglā;VOLVO;S40;1998;2;Vadītājs;36;V;Nē;bez miesas bojājumiem
220462035;1;Vieglā;BMW;525;2010;1;Vadītājs;47;V;Nē;bez miesas bojājumiem
220462035;2;Vieglā;VOLVO;S40;2003;2;Vadītājs;26;V;Nē;bez miesas bojājumiem
220462064;1;Kravas;NISSAN;PRIMASTAR;2007;3;Vadītājs;;V;Nē;bez miesas bojājumiem
220462064;1;Kravas;NISSAN;PRIMASTAR;2007;1;Citi;19;V;Nē;bez miesas bojājumiem
220462064;2;Vieglā;VW;PASSAT VARIANT;2004;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220462100;1;Vieglā;AUDI;A4;2007;2;Vadītājs;19;S;Nē;viegli miesas bojājumi
220462100;2;Vieglā;AUDI;A4;2001;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220462117;1;Velosipēds;;;;1;Velosipēda vadītājs;77;V;Jā;viegli miesas bojājumi
220462183;1;Vieglā;RENAULT;TRAFIC;2009;1;Vadītājs;53;V;Nē;bez miesas bojājumiem
220462189;1;Kravas;DAF;XF 480 FT;2019;1;Vadītājs;44;V;Nē;bez miesas bojājumiem
220462189;2;Puspiekabe;SCHMITZ;SKI 24;2020;2;;;;Nē;
220462235;1;Vieglā;BMW;320;2012;1;Vadītājs;39;V;Nē;bez miesas bojājumiem
220462235;2;Kravas;RENAULT;KANGOO;2013;3;Vadītājs;30;V;Nē;bez miesas bojājumiem
220462235;3;Vieglā;OPEL;VIVARO;2006;2;Vadītājs;37;V;Nē;bez miesas bojājumiem
220462305;1;Vieglā;RENAULT;MEGANE SCENIC;2006;1;Vadītājs;81;V;Nē;bez miesas bojājumiem
220462305;2;Vieglā;ŠKODA;OCTAVIA;2020;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220462360;1;Vieglā;TOYOTA;AVENSIS;2007;1;Vadītājs;47;V;Jā;bez miesas bojājumiem
220462360;2;Vieglā;FORD;GALAXY;2012;3;Vadītājs;37;V;Nē;bez miesas bojājumiem
220462360;3;Vieglā;MAZDA;626;2001;2;Vadītājs;38;V;Nē;bez miesas bojājumiem
220462370;1;Kravas;PEUGEOT;BOXER;2016;1;Vadītājs;33;V;Nē;bez miesas bojājumiem
220462704;1;Vieglā;BMW;320;2002;2;Vadītājs;21;S;Nē;smagi miesas bojājumi
220462704;2;Vieglā;AUDI;A6;1998;1;Vadītājs;19;V;Nē;bez miesas bojājumiem
220462704;2;Vieglā;AUDI;A6;1998;3;Pasažieris;17;V;Nē;viegli miesas bojājumi
220462716;1;Vieglā;ŠKODA;OCTAVIA;2007;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
220462716;2;Vieglā;ŠKODA;ROOMSTER;2009;3;Vadītājs;39;V;Nē;viegli miesas bojājumi
220462716;3;Vieglā;OPEL;ASTRA SPORTS TOURER;2017;2;Vadītājs;55;V;Nē;bez miesas bojājumiem
220462718;1;Vieglā;VOLVO;S80;2007;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220462718;2;Kravas;VW;CRAFTER;2011;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
220462743;1;Velosipēds;;;;1;Velosipēda vadītājs;30;V;Nē;bez miesas bojājumiem
220462743;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220462913;1;Kravas;VOLVO;FM7;1999;1;Vadītājs;74;V;Nē;bez miesas bojājumiem
220462955;1;Vieglā;JEEP;COMPASS;2019;1;Vadītājs;48;V;Nē;bez miesas bojājumiem
220462955;2;Motocikls;YAMAHA;FZS 600;1999;2;Vadītājs;36;V;Nē;viegli miesas bojājumi
220462992;1;Vieglā;DACIA;LOGAN;2007;1;Vadītājs;65;V;Nē;bez miesas bojājumiem
220463059;1;Kravas;MERCEDES BENZ;SPRINTER;2012;1;Vadītājs;58;V;Nē;bez miesas bojājumiem
220463059;2;Vieglā;VOLVO;V50;2006;2;Vadītājs;54;V;Jā;bez miesas bojājumiem
220463084;1;Vieglā;VOLVO;S60;2003;1;Vadītājs;24;V;Nē;bez miesas bojājumiem
220463116;1;Kravas;VW;CRAFTER;2015;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220463116;2;Vieglā;BMW;116;2013;2;Vadītājs;46;V;Nē;bez miesas bojājumiem
220463248;1;Vieglā;AUDI;A6 AVANT;1996;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
220463426;1;Kravas;MERCEDES BENZ;SPRINTER;2012;2;Vadītājs;24;V;Nē;bez miesas bojājumiem
220463426;2;Vieglā;AUDI;A4;2004;1;Vadītājs;51;S;Nē;bez miesas bojājumiem
220463516;1;Kravas;ISUZU;D MAX;2011;1;Vadītājs;62;V;Nē;viegli miesas bojājumi
220463528;1;Vieglā;VW;TOUAREG;2005;1;Vadītājs;41;V;Nē;bez miesas bojājumiem
220463528;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220463790;1;Vieglā;BMW;730;2004;1;Vadītājs;58;V;Nē;bez miesas bojājumiem
220463790;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220463803;1;Vieglā;OPEL;MOVANO AUTO-FORM;2017;2;Vadītājs;25;V;Nē;bez miesas bojājumiem
220463803;2;Kravas;FORD;TRANSIT;2007;1;Vadītājs;37;V;Nē;bez miesas bojājumiem
220463824;1;Vieglā;FORD;ESCORT;1996;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
220463824;2;Kravas;CITROEN;JUMPER;2015;2;Vadītājs;;;Nē;bez miesas bojājumiem
220463846;1;Vieglā;TOYOTA;AVENSIS;2006;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220463846;2;Nedefinēts;;;;2;Citi;44;V;Nē;bez miesas bojājumiem
220463849;1;Vieglā;VOLVO;V70;2007;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220463849;2;Vieglā;AUDI;A4;1999;1;Vadītājs;57;S;Nē;viegli miesas bojājumi
220463849;3;Vieglā;VW;CARAVELLE;1996;3;Vadītājs;23;V;Nē;bez miesas bojājumiem
220463870;1;Vieglā;VW;MULTIVAN STARTLINE;2013;1;Vadītājs;36;V;Nē;bez miesas bojājumiem
220463870;2;Vieglā;VOLVO;V70;2003;2;Vadītājs;44;V;Nē;bez miesas bojājumiem
220463930;1;Vieglā;MERCEDES BENZ;S320;2005;1;Vadītājs;51;V;Nē;bez miesas bojājumiem
220463930;2;Vieglā;OPEL;MERIVA;2007;2;Vadītājs;51;V;Nē;bez miesas bojājumiem
220463932;1;Vieglā;CHEVROLET;AVEO;2012;1;Vadītājs;65;V;Nē;bez miesas bojājumiem
220463932;;;;;;2;Gājējs;61;S;Nē;viegli miesas bojājumi
220463966;1;Vieglā;OPEL;VECTRA;1997;2;Vadītājs;23;V;Nē;bez miesas bojājumiem
220463966;2;Vieglā;RENAULT;KANGOO;2008;1;Vadītājs;49;V;Nē;bez miesas bojājumiem
220463991;1;Vieglā;AUDI;A3;2001;1;Iesniedzējs;22;V;Nē;bez miesas bojājumiem
220463992;1;Vieglā;VOLVO;V70;2004;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220464062;1;Vieglā;MAZDA;626;2000;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
220464062;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220464112;1;Vieglā;AUDI;A4;2003;1;Vadītājs;24;V;Nē;bez miesas bojājumiem
220464112;2;Vieglā;FORD;SCORPIO;1990;3;Pasažieris;17;S;Nē;bez miesas bojājumiem
220464112;2;Vieglā;FORD;SCORPIO;1990;2;Vadītājs;19;V;Nē;bez miesas bojājumiem
220464117;1;Vieglā;OPEL;MERIVA;2016;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220464129;1;Kravas;VW;CADDY;2010;2;Vadītājs;24;V;Nē;bez miesas bojājumiem
220464129;2;Vieglā;BMW;535;2007;1;Vadītājs;28;V;Nē;bez miesas bojājumiem
220464135;1;Vieglā;HONDA;CIVIC;2008;2;Vadītājs;33;V;Nē;viegli miesas bojājumi
220464135;2;Vieglā;AUDI;A6;2006;1;Vadītājs;20;V;Jā;bez miesas bojājumiem
220464144;1;Pārvietošanās līdzeklis ar elektromotoru;;;;1;Citi;58;V;Jā;smagi miesas bojājumi
220464229;1;Vieglā;RENAULT;ESPACE;2011;1;Vadītājs;46;V;Nē;bez miesas bojājumiem
220464261;1;Vieglā;AUDI;A4;2008;2;Vadītājs;37;S;Nē;bez miesas bojājumiem
220464261;2;Kravas;VW;CRAFTER;2012;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220464345;1;Kravas;SCANIA;R 470;2005;1;Vadītājs;46;V;Nē;bez miesas bojājumiem
220464345;2;Puspiekabe;LANGENDORF;SKA 27/28;2002;2;;;;Nē;
220464355;1;Vieglā;AUDI;S4;2011;1;Vadītājs;39;V;Nē;bez miesas bojājumiem
220464355;2;Kravas;MAN;TGE;2020;2;Vadītājs;32;V;Nē;bez miesas bojājumiem
220464355;3;Kravas;VOLVO;FH;2015;3;Vadītājs;64;V;Nē;bez miesas bojājumiem
220464355;4;Piekabe;SP;;;4;;;;Nē;
220464363;1;Vieglā;VOLVO;XC90;2007;1;Vadītājs;31;S;Nē;bez miesas bojājumiem
220464477;1;Vieglā;BMW;318;1990;1;Vadītājs;36;V;Nē;viegli miesas bojājumi
220464672;1;Vieglā;DACIA;DUSTER;2021;1;Vadītājs;70;V;Nē;bez miesas bojājumiem
220464672;2;Vieglā;NISSAN;QASHQAI;2008;2;Vadītājs;44;S;Nē;bez miesas bojājumiem
220464731;1;Vieglā;CHRYSLER;VOYAGER;2002;2;Vadītājs;77;V;Nē;bez miesas bojājumiem
220464731;;;;;;1;Gājējs;32;V;Nē;viegli miesas bojājumi
220464805;1;Vieglā;ŠKODA;SUPERB;2014;1;Vadītājs;47;V;Nē;bez miesas bojājumiem
220464805;2;Mopēds,motorollers;;;;2;Mopēdists;17;V;Nē;viegli miesas bojājumi
220465039;1;Vieglā;SEAT;ALHAMBRA;2012;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220465039;2;Vieglā;HYUNDAI;KONA;2021;2;Vadītājs;55;S;Nē;bez miesas bojājumiem
220465121;1;Vieglā;PEUGEOT;3008;2018;2;Vadītājs;43;S;Nē;bez miesas bojājumiem
220465121;2;Kravas;RENAULT;MIDLUM;2009;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220465131;1;Autobuss;SOLARIS;URBINO 15;2004;1;Pasažieris;55;S;Nē;viegli miesas bojājumi
220465131;1;Autobuss;SOLARIS;URBINO 15;2004;2;Vadītājs;64;V;Nē;bez miesas bojājumiem
220465162;1;Vieglā;VOLVO;S80;2012;1;Vadītājs;57;V;Nē;bez miesas bojājumiem
220465162;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220465171;1;Piekabe;;;1980;3;;;;Nē;
