Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
220372443;2;Vieglā;HYUNDAI;I20 ACTIVE;2016;1;Vadītājs;55;S;Nē;viegli miesas bojājumi
220372514;1;Vieglā;RENAULT;ESPACE;2005;1;Vadītājs;39;S;Nē;bez miesas bojājumiem
220372523;1;Vieglā;AUDI;A6 AVANT;2003;2;Vadītājs;46;S;Nē;bez miesas bojājumiem
220372523;2;Vieglā;TOYOTA;RAV4;2007;1;Vadītājs;73;V;Nē;bez miesas bojājumiem
220372798;1;Vieglā;HYUNDAI;GETZ;2007;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220372882;1;Vieglā;MAZDA;3;2017;1;Vadītājs;25;S;Nē;bez miesas bojājumiem
220373005;1;Vieglā;VW;SHARAN;2001;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220373025;1;Trolejbuss;;;;2;Vadītājs;;;Nē;bez miesas bojājumiem
220373025;2;Trolejbuss;;;;1;Pasažieris;54;S;Nē;viegli miesas bojājumi
220373038;1;Vieglā;PEUGEOT;308;2013;2;Vadītājs;20;S;Nē;bez miesas bojājumiem
220373038;2;Vieglā;OPEL;ASTRA;2001;1;Vadītājs;51;S;Nē;bez miesas bojājumiem
220373048;1;Vieglā;VOLVO;V70;2003;1;Vadītājs;57;V;Nē;bez miesas bojājumiem
220373048;2;Vieglā;VW;TOURAN;2007;2;Vadītājs;;;Nē;bez miesas bojājumiem
220373235;1;Vieglā;FORD;MONDEO;2005;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
220373235;2;Vieglā;BMW;X3;2005;2;Vadītājs;34;V;Nē;bez miesas bojājumiem
220373268;1;Vieglā;AUDI;A6;2007;1;Vadītājs;72;S;Nē;bez miesas bojājumiem
220373268;2;Kravas;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220373278;1;Vieglā;AUDI;100;1991;1;Pasažieris;19;V;Nē;bez miesas bojājumiem
220373278;1;Vieglā;AUDI;100;1991;2;Vadītājs;18;S;Nē;viegli miesas bojājumi
220373383;1;Vieglā;INFINITI;Q50;2016;1;Vadītājs;41;V;Jā;bez miesas bojājumiem
220373518;1;Vieglā;AUDI;A4;2008;3;Vadītājs;39;S;Nē;bez miesas bojājumiem
220373518;2;Vieglā;FORD;MONDEO;2011;2;Vadītājs;51;V;Nē;bez miesas bojājumiem
220373518;3;Vieglā;BMW;520;2000;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
220373538;1;Vieglā;AUDI;A4;2008;2;Vadītājs;31;V;Nē;bez miesas bojājumiem
220373538;2;Kravas;RENAULT;MASTER;2010;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
220373548;1;Vieglā;NISSAN;X TRAIL;2009;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220373731;1;Vieglā;OPEL;SIGNUM;2003;2;Vadītājs;30;V;Nē;bez miesas bojājumiem
220373731;2;Vieglā;PEUGEOT;207;2009;1;Vadītājs;45;S;Nē;bez miesas bojājumiem
220373791;1;Vieglā;HYUNDAI;SANTA FE;2007;2;Vadītājs;41;V;Nē;bez miesas bojājumiem
220373791;2;Vieglā;VOLVO;XC60;2014;1;Vadītājs;44;V;Nē;bez miesas bojājumiem
220373791;3;Vieglā;VW;GOLF;2002;3;Vadītājs;25;S;Nē;bez miesas bojājumiem
220373885;1;Vieglā;OPEL;ASTRA SPORTS TOURER;2016;1;Vadītājs;32;S;Nē;bez miesas bojājumiem
220373911;1;Vieglā;OPEL;VIVARO;2004;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
220373911;2;Vieglā;MERCEDES BENZ;C220;2008;2;Vadītājs;36;V;Nē;bez miesas bojājumiem
220373912;1;Vieglā;SEAT;IBIZA;2004;2;Vadītājs;24;S;Nē;bez miesas bojājumiem
220373912;2;Vieglā;FORD;GRAND C-MAX;2015;1;Vadītājs;36;S;Nē;bez miesas bojājumiem
